subject,block,trial,mu1,mu2,choice,reward,RT
1,12,2,4.542,-4.051,2,-4.505,0.000
1,12,3,4.542,-4.051,1,6.751,0.000
1,12,4,4.542,-4.051,1,4.425,0.000
1,12,5,4.542,-4.051,1,8.125,0.000
1,12,6,4.542,-4.051,1,3.456,0.000
1,12,7,4.542,-4.051,1,9.170,0.000
1,12,8,4.542,-4.051,1,-1.402,0.000
1,12,9,4.542,-4.051,1,10.347,0.000
1,12,10,4.542,-4.051,1,3.251,0.000
1,13,1,20.834,-14.334,1,13.357,0.000
1,13,2,20.834,-14.334,1,17.852,0.000
1,13,3,20.834,-14.334,1,21.078,0.000
1,13,4,20.834,-14.334,1,21.865,0.000
1,13,5,20.834,-14.334,1,15.999,0.000
1,13,6,20.834,-14.334,1,20.066,0.000
1,13,7,20.834,-14.334,1,20.521,0.000
1,13,8,20.834,-14.334,1,20.737,0.000
1,13,9,20.834,-14.334,1,21.235,0.000
1,13,10,20.834,-14.334,1,15.077,0.000
1,14,1,5.400,9.344,1,8.028,0.000
1,14,2,5.400,9.344,1,8.122,0.000
1,14,3,5.400,9.344,1,2.889,0.000
1,14,4,5.400,9.344,1,8.929,0.000
1,14,5,5.400,9.344,1,9.010,0.000
1,14,6,5.400,9.344,1,5.341,0.000
1,14,7,5.400,9.344,1,13.733,0.000
1,14,8,5.400,9.344,1,7.721,0.000
1,14,9,5.400,9.344,1,5.258,0.000
1,14,10,5.400,9.344,1,3.735,0.000
1,15,1,-0.505,0.384,1,-1.539,0.000
1,15,2,-0.505,0.384,2,2.478,0.000
1,15,3,-0.505,0.384,2,3.182,0.000
1,15,4,-0.505,0.384,2,-2.364,0.000
1,15,5,-0.505,0.384,2,-4.759,0.000
1,15,6,-0.505,0.384,2,-0.357,0.000
1,15,7,-0.505,0.384,2,-0.509,0.000
1,15,8,-0.505,0.384,2,3.063,0.000
1,15,9,-0.505,0.384,2,-5.096,0.000
1,15,10,-0.505,0.384,2,-2.130,0.000
1,16,1,-10.797,-7.544,1,-11.139,0.000
